Code	Year1	Year2	Year3	Slope	Sharp	STD
'000020'	 23.60	 18.85	-19.40	  0.11	  5.01	  1.76
'000044'	 21.38	 16.53	 -4.64	  0.05	  3.02	  0.84
'000073'	 21.82	  2.50	-32.73	  0.02	  2.37	  2.05
'000083'	 38.52	 18.26	-27.40	  0.18	  5.73	  1.94
'000127'	 29.21	 15.12	-17.95	  0.12	  5.08	  1.87
'000173'	 38.92	  2.67	-35.31	  0.08	  4.36	  2.02
'000219'	 20.82	  5.93	-20.52	  0.03	  1.90	  2.16
'000220'	 30.96	-14.04	-26.94	  0.02	  3.45	  1.93
'000248'	 45.78	 20.76	 -7.17	  0.09	  3.50	  1.73
'000294'	 43.20	  5.37	-23.58	  0.09	  4.13	  2.10
'000373'	 28.19	 15.39	-20.98	  0.02	  3.11	  1.64
'000376'	 27.91	 14.98	-21.36	  0.02	  3.00	  1.63
'000404'	 28.00	-18.96	-27.33	  0.07	  3.79	  2.30
'000431'	 35.22	  4.79	  2.77	  0.05	  3.17	  0.87
'000480'	 20.85	 19.82	 -3.93	  0.16	  6.32	  1.39
'000527'	 20.85	 26.03	  2.27	  0.16	  5.50	  1.58
'000529'	 20.80	  5.20	-28.94	  0.07	  2.97	  2.01
'000531'	 36.86	 -4.98	-16.22	  0.02	  1.73	  1.66
'000532'	 33.42	 18.25	-33.89	  0.05	  3.58	  1.93
'000566'	 29.91	 14.63	-17.28	  0.12	  5.22	  1.74
'000577'	 25.63	 31.43	 -3.49	  0.20	  6.64	  1.52
'000584'	 27.18	  2.27	 -8.13	  0.09	  4.72	  1.34
'000619'	 42.21	 26.42	 -4.27	  0.23	  8.32	  1.44
'000628'	 23.09	 26.82	 -1.59	  0.09	  3.17	  1.92
'000688'	 23.14	  6.66	-26.77	  0.03	  2.37	  2.02
'000711'	 25.27	 15.04	-20.13	  0.04	  3.05	  1.95
'000717'	 24.51	 10.43	-18.96	  0.02	  2.47	  1.57
'000727'	 21.63	 -7.81	-28.13	 -0.03	  1.04	  1.96
'000742'	 21.53	 17.88	 -1.50	  0.16	  4.66	  1.92
'000751'	 29.19	 21.58	-14.84	  0.10	  5.23	  1.59
'000831'	 30.91	 13.46	-33.31	  0.00	  3.45	  1.89
'000835'	 20.65	 18.25	-30.62	  0.04	  3.24	  1.61
'000854'	 37.07	 16.52	-31.60	  0.03	  3.62	  1.99
'000867'	 24.75	 13.56	-35.63	 -0.00	  0.45	  1.86
'000878'	 44.97	 15.25	-35.61	  0.02	  3.57	  1.77
'000879'	 44.12	 14.22	-36.21	  0.01	  3.36	  1.78
'000884'	 29.57	 22.35	-25.62	  0.02	  2.35	  1.91
'000913'	 30.08	 -4.49	-15.30	 -0.01	  1.40	  2.12
'000924'	 21.87	 -8.36	-24.34	 -0.02	  1.23	  2.04
'000934'	 28.44	 41.15	-30.27	  0.07	  2.40	  1.64
'000936'	 23.79	 20.63	-20.09	  0.05	  2.77	  1.76
'000945'	 24.43	 11.83	-15.80	  0.02	  3.62	  1.71
'000946'	 23.75	 11.33	-16.23	  0.02	  3.49	  1.71
'000960'	 33.63	  1.61	-28.98	 -0.01	  1.90	  1.99
'000967'	 28.05	 13.00	-20.63	  0.03	  2.40	  1.83
'000974'	 27.23	 33.65	-11.81	  0.09	  3.43	  1.61
'000991'	 28.78	 11.12	-23.02	  0.03	  1.30	  1.90
'001040'	 21.20	  8.24	-17.48	  0.02	  0.57	  1.76
'001047'	 20.40	 16.46	-24.49	  0.04	  0.76	  1.88
'001060'	 21.78	  9.66	 -6.08	  0.05	  1.48	  1.12
'001103'	 22.32	  9.00	 -7.07	  0.04	  1.37	  1.11
'001162'	 30.72	 15.97	-18.52	  0.03	  1.27	  1.26
'020005'	 27.77	 18.81	-22.31	  0.17	  3.22	  1.68
'040018'	 20.02	 26.67	-26.36	  0.03	  1.74	  1.34
'050026'	 20.04	  6.56	-30.67	  0.00	  2.07	  1.90
'070018'	 20.82	 14.02	-16.32	  0.06	  1.79	  1.49
'070019'	 23.48	  4.90	-24.77	  0.05	  2.15	  1.80
'070032'	 20.19	  9.16	 -2.75	  0.12	  2.73	  1.84
'090015'	 24.30	  9.91	 -9.42	  0.13	  4.71	  1.89
'100038'	 21.10	 14.20	-20.74	  0.08	  5.29	  1.48
'100039'	 23.84	 -0.14	-21.58	  0.04	  3.52	  1.77
'100061'	 22.85	 24.56	-24.49	  0.06	  1.60	  1.26
'110011'	 30.15	 36.58	 -7.05	  0.26	  6.32	  1.49
'110015'	 25.59	  8.77	-24.70	  0.10	  3.51	  1.89
'110022'	 39.69	 41.03	-12.88	  0.14	  6.24	  1.61
'110023'	 39.81	 10.04	-42.07	  0.00	  2.36	  1.88
'150009'	 22.78	 12.97	-35.89	  0.05	  0.93	  2.32
'150017'	 44.69	 -0.11	 19.51	  0.29	  1.84	  2.74
'150037'	 21.73	 17.38	-28.55	  0.09	  4.38	  2.32
'150050'	 28.17	 60.21	-38.67	  0.27	  1.80	  3.92
'150077'	 20.68	 19.21	-48.90	  0.05	  4.64	  2.61
'150084'	 28.92	 19.13	-52.13	  0.04	  4.18	  3.45
'150105'	 21.48	 16.97	-49.29	  0.04	  4.08	  2.54
'150124'	 45.29	 41.87	-27.61	  0.18	  2.18	  3.37
'150131'	 24.15	  5.83	-24.52	  0.05	  2.13	  4.56
'150149'	 27.66	 15.77	-27.33	  0.07	  2.67	  4.49
'150199'	 47.48	 20.42	 -8.48	  0.15	  3.57	  4.58
'150230'	105.54	 59.41	-39.02	  0.14	  3.91	  4.52
'159905'	 27.00	 19.25	-17.83	  0.09	  5.24	  1.72
'159928'	 48.32	 22.18	-13.17	  0.12	  5.75	  1.68
'159929'	 28.16	 11.64	-22.90	  0.04	  3.61	  1.69
'159938'	 24.10	  8.51	-23.34	  0.01	  2.77	  1.82
'160125'	 23.13	 13.60	-35.53	 -0.01	 -0.41	  1.45
'160133'	 20.16	 13.29	-12.25	  0.11	  5.21	  1.73
'160215'	 23.08	 10.32	 -2.82	  0.12	  3.83	  2.00
'160222'	 31.84	 14.31	 -3.23	  0.09	  2.13	  2.09
'160632'	 51.69	 24.64	-16.97	  0.08	  2.79	  1.92
'161213'	 20.48	 14.12	-26.20	  0.05	  3.82	  1.66
'163406'	 31.87	 -0.07	 17.49	  0.21	  1.59	  2.55
'163411'	 25.83	  5.05	  1.88	  0.07	  2.19	  0.85
'163412'	 21.66	 -0.26	 17.20	  0.25	  3.53	  1.92
'165312'	 29.09	 24.41	-16.88	  0.10	  0.82	  2.22
'166006'	 20.77	 16.43	-22.62	  0.06	  3.13	  1.88
'166301'	 20.50	  8.75	 -6.08	  0.11	  5.02	  1.62
'180012'	 24.45	 21.18	 -5.97	  0.18	  6.44	  1.66
'200008'	 22.64	 19.76	-28.44	  0.06	  4.79	  1.62
'200012'	 21.78	 20.64	-26.27	  0.05	  3.07	  1.94
'202023'	 20.03	 12.40	  0.75	  0.14	  6.12	  1.32
