Code	year1	year2	Slope	Sharp	STD
000075	 21.52	 46.83	  0.01	  0.95	  1.09
000127	 29.21	 48.74	  0.11	 -0.02	  1.91
000248	 45.78	 76.04	  0.09	  1.84	  1.67
000431	 35.22	 41.69	  0.06	  3.79	  0.98
000480	 20.85	 44.80	  0.12	  0.66	  1.35
000527	 20.85	 52.31	  0.15	  0.94	  1.67
000531	 36.86	 30.05	  0.02	  0.39	  1.78
000577	 25.63	 65.12	  0.19	  2.14	  1.59
000619	 42.21	 79.79	  0.22	  2.55	  1.42
000628	 23.09	 56.11	  0.10	  1.02	  1.91
000742	 21.53	 43.26	  0.16	 -0.37	  1.96
000751	 29.19	 57.06	  0.10	 -0.20	  1.53
000974	 27.23	 70.04	  0.09	  1.58	  1.59
001044	 36.25	 69.37	  0.08	  0.78	  1.63
001053	 21.58	 44.89	  0.06	  0.33	  1.58
001060	 21.78	 33.55	  0.05	  1.13	  1.14
001102	 24.54	 51.22	  0.08	  3.42	  1.06
001103	 22.32	 33.33	  0.04	  0.98	  1.12
001112	 36.74	 82.07	  0.11	  3.58	  1.33
001162	 30.72	 51.60	  0.03	  1.16	  1.28
001178	 21.67	 48.55	  0.07	  1.11	  1.24
001179	 31.56	 61.42	  0.06	  0.66	  1.83
001208	 35.54	 57.91	  0.05	  0.54	  1.52
001281	 35.48	 59.53	  0.10	  7.91	  0.68
001287	 37.90	 42.48	  0.08	  5.45	  0.72
001371	 30.31	 71.01	  0.09	  3.08	  1.03
001410	 24.09	 54.98	  0.10	  2.94	  1.51
001417	 45.75	 45.57	  0.02	  1.05	  1.42
001456	 20.02	 19.22	  0.01	  0.03	  1.42
001458	 29.70	 41.06	  0.06	  3.12	  1.37
001500	 20.22	 29.42	  0.05	  2.45	  1.00
001508	 34.73	 44.93	  0.04	  3.99	  1.40
001510	 34.22	 44.03	  0.04	  3.89	  1.40
001528	 27.85	 55.83	  0.10	  5.35	  0.92
001542	 31.32	 56.10	  0.16	  5.76	  1.50
001543	 24.35	 32.11	  0.07	  3.34	  0.94
001563	 23.49	 17.95	 -0.01	  0.41	  1.50
001564	 22.17	 48.86	  0.09	  5.09	  0.91
001583	 21.83	 37.12	  0.07	  1.91	  1.37
001605	 45.70	 20.18	  0.03	  1.92	  1.15
001631	 42.72	 62.47	  0.09	  4.23	  1.43
001632	 42.37	 61.77	  0.09	  4.16	  1.43
001638	 30.76	 50.67	  0.05	  2.39	  1.33
001645	 23.25	 47.52	  0.10	  7.33	  1.16
001677	 20.87	 35.79	  0.08	  3.44	  0.92
001681	 23.84	 21.09	  0.02	  0.22	  1.16
001694	 22.89	 57.27	  0.11	  6.44	  1.03
001712	 26.40	 60.28	  0.11	  4.39	  1.08
001714	 27.90	 48.84	  0.10	  6.33	  0.95
001717	 42.81	 70.95	  0.10	  9.05	  0.88
001740	 20.06	 40.33	  0.12	  2.22	  1.29
001766	 34.53	 42.13	  0.01	  0.24	  1.45
001810	 20.29	 48.81	  0.09	  4.50	  1.13
001811	 27.17	 46.99	  0.08	  1.99	  1.20
001815	 33.01	 50.80	  0.07	  5.77	  0.84
001830	 22.08	 34.05	  0.03	  1.66	  1.51
001840	 27.26	 31.89	  0.07	 -0.40	  1.13
001861	 27.33	 30.75	  0.03	  2.29	  0.89
001886	 21.00	 41.66	  0.07	  0.99	  1.49
001892	 22.31	 11.29	  0.01	  1.18	  1.23
001915	 26.96	 24.74	  0.02	  0.21	  1.55
001927	 32.84	 65.78	  0.13	  9.19	  0.85
001928	 32.28	 64.08	  0.13	  8.95	  0.85
001938	 21.58	 53.54	  0.12	  1.58	  1.46
001975	 27.40	 65.52	  0.14	  7.95	  0.96
001985	 28.75	 40.45	  0.09	  3.40	  1.30
002036	 37.55	 42.50	  0.09	  5.37	  0.79
002045	 48.90	 69.79	  0.10	  5.03	  1.58
002068	 49.41	 49.51	  0.09	  2.17	  2.20
002071	 20.80	 21.03	  0.05	  0.74	  0.72
002072	 35.29	 58.56	  0.12	  7.72	  0.72
002082	 32.63	 49.82	  0.09	  6.93	  0.99
002137	 24.07	 24.07	  0.01	  3.11	  0.53
002142	 27.44	 48.08	  0.10	  1.06	  1.05
002163	104.94	111.03	  0.20	  3.75	  4.03
002173	 24.71	 20.10	  0.01	  1.85	  1.07
002187	 35.82	 38.04	  0.01	  2.77	  1.96
002214	 31.37	 60.64	  0.14	  6.13	  1.05
002300	 26.71	 27.62	  0.02	  2.60	  0.91
002408	 23.59	 25.79	  0.03	  3.87	  0.74
002450	 27.90	 23.02	  0.05	  2.86	  0.73
002451	 26.98	 20.85	  0.05	  2.35	  0.73
002556	 24.04	 23.37	  0.04	  2.30	  1.10
