Code	Recent3M	ThisYear	Recent1Y	Recent2Y	Recent3Y	Recent5Y	Y2018	Y2017	Y2016	Y2015	Y2014
'000742'	 33.02	 34.08	-14.91	  0.38	 35.29	119.30	-44.14	 53.49	  0.41	 71.17	 11.00
'001102'	 51.14	 52.59	 14.06	 36.01	 59.48	 59.00	-28.38	 34.72	  9.64	 -1.50	  0.00
'020005'	 41.28	 41.28	  5.27	 16.79	 42.22	 67.39	-34.67	 39.55	 -0.59	  8.79	 11.37
'450002'	 29.24	 30.90	  4.98	 28.72	 50.71	111.68	-21.65	 34.10	 -1.50	 37.80	  7.03
'000628'	 28.69	 28.97	 13.04	 38.75	 76.23	 79.40	-15.75	 36.33	  0.83	 20.10	  0.00
'001208'	 27.70	 28.76	 10.32	 47.97	 72.46	 24.00	-13.63	 40.96	 -8.24	-13.80	  0.00
'000577'	 31.50	 31.56	  0.51	 22.66	 65.48	193.90	-23.57	 38.60	  8.49	 48.40	 31.00
'519697'	 29.37	 30.43	 18.42	 43.90	 61.25	226.06	  0.32	  3.19	  0.55	 76.14	 38.06
'519688'	 32.04	 33.16	  9.34	 28.30	 50.58	124.75	-20.82	 20.71	  3.35	 54.97	 -4.10
'000527'	 22.93	 22.99	  4.93	 22.12	 59.52	155.51	-17.38	 31.26	  2.33	 71.36	 10.00
'519091'	 22.26	 21.36	  4.44	 18.97	 63.33	161.09	 -9.95	 20.41	  6.67	 51.25	 24.40
