Code	Recent3M	ThisYear	Recent1Y	Recent2Y	Recent3Y	Recent5Y	Y2018	Y2017	Y2016	Y2015	Y2014
'040008'	 34.64	 37.56	 14.37	 50.74	 74.54	191.55	-19.00	 54.28	 -9.07	 41.29	 29.56
'162605'	 49.23	 49.77	 23.96	 71.37	104.59	161.93	-19.07	 55.52	-12.59	 37.97	 10.46
'260108'	 50.23	 50.92	 26.30	 84.20	114.13	171.62	-14.13	 56.28	 -8.88	 33.42	  1.74
'000619'	 32.60	 34.60	  2.44	 45.40	 80.96	247.80	-21.89	 52.51	 -0.05	 51.85	 42.90
'110011'	 42.96	 42.81	 20.28	 43.22	 89.50	187.06	-14.30	 32.73	  8.30	 25.79	 31.43
'180012'	 38.49	 38.15	 13.73	 44.16	 98.01	198.14	-22.46	 53.09	  7.45	 40.10	 16.10
'540012'	 28.91	 31.33	  7.41	 37.07	 72.70	137.94	-19.49	 42.24	 -0.35	  5.43	 48.18
'540006'	 32.37	 36.09	  8.69	 25.14	 64.06	243.38	-20.61	 28.07	  6.46	 35.18	 60.25
'519068'	 33.74	 35.83	  3.70	 37.57	 54.96	172.61	-24.79	 48.23	 -7.90	 72.23	 13.59
'519066'	 30.19	 32.12	  4.34	 28.12	 46.34	165.16	-27.61	 46.09	 -1.69	 65.03	  5.58
