Code	ThisYear	Recent1Y	Recent2Y	Recent3Y	Recent5Y	Y2018	Y2017	Y2016	Y2015	Y2014
'002900'	 30.09	 -8.76	-12.45	-16.94	-16.94	-31.25	  0.58	 -7.67	  0.00	  0.00
'004347'	 30.00	 -9.12	-12.93	-11.60	-11.60	-31.52	 -0.71	  0.00	  0.00	  0.00
'165523'	 32.24	 -2.51	-10.95	 -9.27	-43.17	-27.74	 -8.29	-27.91	-10.06	  0.00
'001630'	 33.77	 -2.64	 -0.83	  3.02	-32.06	-25.22	 -2.20	-32.47	  2.84	  0.00
'002974'	 31.86	 -8.72	-10.60	-19.07	-19.07	-31.50	  0.07	-10.47	  0.00	  0.00
'161631'	 32.03	 -7.92	 -4.49	 -4.49	 -4.49	-30.49	  4.07	  0.00	  0.00	  0.00
'005885'	 25.87	 30.07	 30.07	 30.07	 30.07	  3.33	  0.00	  0.00	  0.00	  0.00
'005036'	 27.96	 -8.77	-21.43	-21.43	-21.43	-31.66	-10.15	  0.00	  0.00	  0.00
'519929'	 27.32	-12.41	-22.16	-25.90	-25.90	-30.22	-11.65	 -5.60	  0.00	  0.00
'160626'	 31.98	-13.09	 -5.31	 10.32	 43.07	-35.04	 11.24	-18.89	 51.61	 22.00
