Code	Recent3M	ThisYear	Recent1Y	Recent2Y	Recent3Y	Recent5Y	Y2018	Y2017	Y2016	Y2015	Y2014
'000751'	 32.31	 34.14	  8.22	 45.06	 69.32	131.80	-20.15	 46.91	 -7.71	 56.78	  1.80
'020026'	 31.06	 34.89	-23.06	 -2.54	 31.34	114.29	-44.32	 46.93	  6.17	 46.09	 37.07
'090013'	 37.54	 37.54	 -1.88	 19.56	 45.74	149.62	-31.19	 38.06	  1.06	 46.31	 30.32
'001938'	 32.76	 36.21	 14.91	 22.16	 37.24	 40.81	-15.27	 13.50	  2.09	  5.30	  0.00
'519732'	 19.48	 22.68	  3.17	 44.18	 78.07	212.15	 -6.43	 32.50	  0.05	 59.94	 28.13
'001985'	 43.35	 45.26	  7.21	 34.89	 57.03	 53.10	-24.98	 23.79	 13.05	  0.40	  0.00
'001178'	 53.88	 59.05	 26.99	 43.58	 88.28	 77.17	-18.75	 23.07	  8.05	  3.10	  0.00
'519712'	 32.47	 33.78	 10.17	 38.71	 66.30	213.22	 -8.77	 13.51	  2.64	 36.22	 62.66
'519736'	 31.66	 32.81	  9.38	 37.64	 72.56	174.72	-15.99	 33.24	  2.44	 66.11	  8.60
'001410'	 34.60	 40.37	 10.46	 39.20	 73.67	 66.90	-19.99	 39.27	 -5.91	 13.40	  0.00
'040011'	 31.74	 35.41	 21.84	 38.57	 69.15	177.75	 -8.09	 18.68	  5.42	 29.30	 35.71
'420003'	 39.68	 42.89	  5.81	  5.11	 33.87	124.55	-26.46	  8.24	 17.45	 31.43	 41.80
